i,t,m,j,Expenditure
010101088800910007,2018-19,Tigray,Coffee,30
010101088800910007,2018-19,Tigray,Onion,9
010101088800910007,2018-19,Tigray,Salt,3
010101088800910007,2018-19,Tigray,Shiro,12
010101088800910007,2018-19,Tigray,Sugar,12
010101088800910017,2018-19,Tigray,Berbere,7
010101088800910017,2018-19,Tigray,Coffee,30
010101088800910017,2018-19,Tigray,Kariya,10
010101088800910017,2018-19,Tigray,Leafy Greens,14
010101088800910017,2018-19,Tigray,Lentils,12
010101088800910017,2018-19,Tigray,Oils,24
010101088800910017,2018-19,Tigray,Onion,18
010101088800910017,2018-19,Tigray,Papaya,18
010101088800910017,2018-19,Tigray,Potato,10
010101088800910017,2018-19,Tigray,Salt,4
010101088800910017,2018-19,Tigray,Shiro,12
010101088800910017,2018-19,Tigray,Sugar,8
010101088800910026,2018-19,Tigray,Avocado,13
010101088800910026,2018-19,Tigray,Berbere,6
010101088800910026,2018-19,Tigray,Bread/biscuit,13
010101088800910026,2018-19,Tigray,Coffee,30
010101088800910026,2018-19,Tigray,Goat & mutton meat,70
010101088800910026,2018-19,Tigray,Leafy Greens,7
010101088800910026,2018-19,Tigray,Oils,23
010101088800910026,2018-19,Tigray,Onion,20
010101088800910026,2018-19,Tigray,Potato,8
010101088800910026,2018-19,Tigray,Salt,3
010101088800910026,2018-19,Tigray,Shiro,18
010101088800910026,2018-19,Tigray,Sugar,12
010101088800910029,2018-19,Tigray,Berbere,30
010101088800910029,2018-19,Tigray,Eggs,20
010101088800910029,2018-19,Tigray,Goat & mutton meat,85
010101088800910029,2018-19,Tigray,Kariya,6
010101088800910029,2018-19,Tigray,Leafy Greens,14
010101088800910029,2018-19,Tigray,Lentils,25
010101088800910029,2018-19,Tigray,Onion,25
010101088800910029,2018-19,Tigray,Pasta/Macaroni,24
010101088800910029,2018-19,Tigray,Potato,7
010101088800910029,2018-19,Tigray,Salt,4
010101088800910029,2018-19,Tigray,Shiro,7
010101088800910029,2018-19,Tigray,Sugar,12
010101088800910029,2018-19,Tigray,Tea,6
010101088800910029,2018-19,Tigray,Tomato,15
010101088800910038,2018-19,Tigray,Coffee,60
010101088800910038,2018-19,Tigray,Horsebeans,115
010101088800910038,2018-19,Tigray,Oils,24
010101088800910038,2018-19,Tigray,Onion,19
010101088800910038,2018-19,Tigray,Salt,5
010101088800910038,2018-19,Tigray,Sugar,50
010101088800910038,2018-19,Tigray,Tea,5
010101088800910046,2018-19,Tigray,Coffee,55
010101088800910046,2018-19,Tigray,Goat & mutton meat,75
010101088800910046,2018-19,Tigray,Horsebeans,15
010101088800910046,2018-19,Tigray,Kariya,7
010101088800910046,2018-19,Tigray,Leafy Greens,14
010101088800910046,2018-19,Tigray,Oils,24
010101088800910046,2018-19,Tigray,Onion,8
010101088800910046,2018-19,Tigray,Potato,8
010101088800910046,2018-19,Tigray,Salt,5
010101088800910046,2018-19,Tigray,Sugar,15
010101088800910046,2018-19,Tigray,Wheat,10
010101088800910054,2018-19,Tigray,Berbere,15
010101088800910054,2018-19,Tigray,Coffee,30
010101088800910054,2018-19,Tigray,Kariya,10
010101088800910054,2018-19,Tigray,Leafy Greens,14
010101088800910054,2018-19,Tigray,Lentils,15
010101088800910054,2018-19,Tigray,Oils,24
010101088800910054,2018-19,Tigray,Onion,18
010101088800910054,2018-19,Tigray,Potato,7
010101088800910054,2018-19,Tigray,Salt,6
010101088800910054,2018-19,Tigray,Sugar,12
010101088800910062,2018-19,Tigray,Berbere,14
010101088800910062,2018-19,Tigray,Coffee,30
010101088800910062,2018-19,Tigray,Garlic,5
010101088800910062,2018-19,Tigray,Goat & mutton meat,150
010101088800910062,2018-19,Tigray,Horsebeans,12
010101088800910062,2018-19,Tigray,Leafy Greens,14
010101088800910062,2018-19,Tigray,Oils,24
010101088800910062,2018-19,Tigray,Onion,20
010101088800910062,2018-19,Tigray,Potato,10
010101088800910062,2018-19,Tigray,Salt,6
010101088800910062,2018-19,Tigray,Sugar,15
010101088800910070,2018-19,Tigray,Coffee,30
010101088800910070,2018-19,Tigray,Goat & mutton meat,160
010101088800910070,2018-19,Tigray,Oils,23
010101088800910070,2018-19,Tigray,Onion,20
010101088800910070,2018-19,Tigray,Potato,15
010101088800910070,2018-19,Tigray,Salt,4
010101088800910070,2018-19,Tigray,Shiro,12
010101088800910070,2018-19,Tigray,Sugar,24
010101088800910082,2018-19,Tigray,Beef,150
010101088800910082,2018-19,Tigray,Beer,120
010101088800910082,2018-19,Tigray,Berbere,25
010101088800910082,2018-19,Tigray,Bread/biscuit,25
010101088800910082,2018-19,Tigray,Coffee,27
010101088800910082,2018-19,Tigray,Garlic,15
010101088800910082,2018-19,Tigray,Kariya,6
010101088800910082,2018-19,Tigray,Leafy Greens,14
010101088800910082,2018-19,Tigray,Onion,10
010101088800910082,2018-19,Tigray,Potato,15
010101088800910082,2018-19,Tigray,Salt,4
010101088800910082,2018-19,Tigray,Shiro,15
010101088800910082,2018-19,Tigray,Sugar,12
010101088800910093,2018-19,Tigray,Berbere,6
010101088800910093,2018-19,Tigray,Coffee,30
010101088800910093,2018-19,Tigray,Kariya,8
010101088800910093,2018-19,Tigray,Lentils,12
010101088800910093,2018-19,Tigray,Onion,18
010101088800910093,2018-19,Tigray,Potato,16
010101088800910093,2018-19,Tigray,Salt,3
010101088800910093,2018-19,Tigray,Shiro,14
010101088800910093,2018-19,Tigray,Sugar,13
010101088800910093,2018-19,Tigray,Wheat,48
010102088801010034,2018-19,Tigray,Berbere,25
010102088801010034,2018-19,Tigray,Coffee,25
010102088801010034,2018-19,Tigray,Lentils,25
010102088801010034,2018-19,Tigray,Maize,100
010102088801010034,2018-19,Tigray,Oils,60
010102088801010034,2018-19,Tigray,Onion,20
010102088801010034,2018-19,Tigray,Salt,10
010102088801010034,2018-19,Tigray,Shiro,50
010102088801010034,2018-19,Tigray,Sugar,15
010102088801010034,2018-19,Tigray,Tomato,12
010102088801010035,2018-19,Tigray,Berbere,20
010102088801010035,2018-19,Tigray,Coffee,25
010102088801010035,2018-19,Tigray,Maize,128
010102088801010035,2018-19,Tigray,Oils,20
010102088801010035,2018-19,Tigray,Onion,10
010102088801010035,2018-19,Tigray,Salt,3
010102088801010035,2018-19,Tigray,Shiro,26
010102088801010035,2018-19,Tigray,Sugar,12
010102088801010048,2018-19,Tigray,Berbere,20
010102088801010048,2018-19,Tigray,Chick Pea,40
010102088801010048,2018-19,Tigray,Coffee,30
010102088801010048,2018-19,Tigray,Garlic,15
010102088801010048,2018-19,Tigray,Oils,20
010102088801010048,2018-19,Tigray,Onion,18
010102088801010048,2018-19,Tigray,Salt,5
010102088801010048,2018-19,Tigray,Sugar,23
010102088801010048,2018-19,Tigray,Teff,128
010102088801010048,2018-19,Tigray,Wheat,50
010102088801010068,2018-19,Tigray,Beef,100
010102088801010068,2018-19,Tigray,Coffee,50
010102088801010068,2018-19,Tigray,Oils,60
010102088801010068,2018-19,Tigray,Onion,20
010102088801010068,2018-19,Tigray,Salt,9
010102088801010068,2018-19,Tigray,Sugar,30
010102088801010090,2018-19,Tigray,Beef,100
010102088801010090,2018-19,Tigray,Berbere,15
010102088801010090,2018-19,Tigray,Coffee,30
010102088801010090,2018-19,Tigray,Maize,15
010102088801010090,2018-19,Tigray,Oils,60
010102088801010090,2018-19,Tigray,Onion,18
010102088801010090,2018-19,Tigray,Potato,18
010102088801010090,2018-19,Tigray,Salt,3
010102088801010090,2018-19,Tigray,Soda,12
010102088801010090,2018-19,Tigray,Sugar,40
010102088801010090,2018-19,Tigray,Teff,128
010102088801010090,2018-19,Tigray,Tomato,15
010102088801010104,2018-19,Tigray,Berbere,15
010102088801010104,2018-19,Tigray,Bread/biscuit,60
010102088801010104,2018-19,Tigray,Coffee,25
010102088801010104,2018-19,Tigray,Garlic,10
010102088801010104,2018-19,Tigray,Leafy Greens,5
010102088801010104,2018-19,Tigray,Lentils,15
010102088801010104,2018-19,Tigray,Oils,20
010102088801010104,2018-19,Tigray,Onion,10
010102088801010104,2018-19,Tigray,Pasta/Macaroni,20
010102088801010104,2018-19,Tigray,Rice,15
010102088801010104,2018-19,Tigray,Salt,5
010102088801010104,2018-19,Tigray,Shiro,25
