Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2511","Wheat and products","2010","2010","1000 t","2856","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2511","Wheat and products","2010","2010","1000 t","1751","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2511","Wheat and products","2010","2010","1000 t","-4","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2511","Wheat and products","2010","2010","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2511","Wheat and products","2010","2010","1000 t","4609","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2511","Wheat and products","2010","2010","1000 t","81","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5527","Seed","S2511","Wheat and products","2010","2010","1000 t","100","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2511","Wheat and products","2010","2010","1000 t","135","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2511","Wheat and products","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5154","Other uses (non-food)","S2511","Wheat and products","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2511","Wheat and products","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2511","Wheat and products","2010","2010","1000 t","4294","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2010","2010","kg/cap","48.12","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2010","2010","kcal/cap/d","407.18","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2511","Wheat and products","2010","2010","million Kcal","13262622.5","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2010","2010","g/cap/d","12.86","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2511","Wheat and products","2010","2010","t","418895.79","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2010","2010","g/cap/d","1.9","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2511","Wheat and products","2010","2010","t","61984.52","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2511","Wheat and products","2011","2011","1000 t","2916","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2511","Wheat and products","2011","2011","1000 t","1748","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2511","Wheat and products","2011","2011","1000 t","-7","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2511","Wheat and products","2011","2011","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2511","Wheat and products","2011","2011","1000 t","4668","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2511","Wheat and products","2011","2011","1000 t","81","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5527","Seed","S2511","Wheat and products","2011","2011","1000 t","102","I","Imputed value",""
