t,m,j,u,Price
2018-19,Addis Ababa,Avocado,Kg,25.86463987
2018-19,Addis Ababa,Banana,Kg,25.67704918
2018-19,Addis Ababa,Barley,Kg,35.19110384
2018-19,Addis Ababa,Beef,Kg,237.6683416
2018-19,Addis Ababa,Beer,Kg,59.89351199
2018-19,Addis Ababa,Beetroot,Kg,19.54091837
2018-19,Addis Ababa,Berbere,Kg,114.140874
2018-19,Addis Ababa,Bread/biscuit,Kg,16.26733242
2018-19,Addis Ababa,Bula,Kg,69.62069184
2018-19,Addis Ababa,Butter/ghee,Kg,393.6781249
2018-19,Addis Ababa,Carrot,Kg,23.71088651
2018-19,Addis Ababa,Chat/Kat,Kg,257.3016059
2018-19,Addis Ababa,Cheese,Kg,103.9690193
2018-19,Addis Ababa,Chick Pea,Kg,42.90741217
2018-19,Addis Ababa,Coffee,Kg,118.5087712
2018-19,Addis Ababa,Eggs,Kg,19.67315007
2018-19,Addis Ababa,Fenugreek,Kg,113.4705823
2018-19,Addis Ababa,Field Pea,Kg,41.37784236
2018-19,Addis Ababa,Fish,Kg,135.4875589
2018-19,Addis Ababa,Garlic,Kg,87.82182824
2018-19,Addis Ababa,Goat & mutton meat,Kg,575.6596255
2018-19,Addis Ababa,Ground nuts,Kg,94.54611069
2018-19,Addis Ababa,Haricot Beans,Kg,23
2018-19,Addis Ababa,Honey,Kg,240.117355
2018-19,Addis Ababa,Hops (gesho),Kg,7.471049555
2018-19,Addis Ababa,Horsebeans,Kg,35.56720495
2018-19,Addis Ababa,Injera,Kg,22.67963215
2018-19,Addis Ababa,Kariya,Kg,25.4062513
2018-19,Addis Ababa,Kocho,Kg,56.84225499
2018-19,Addis Ababa,Leafy Greens,Kg,16.69290694
2018-19,Addis Ababa,Lentils,Kg,72.13035695
2018-19,Addis Ababa,Linseed,Kg,93.87440416
2018-19,Addis Ababa,Maize,Kg,17.93922554
2018-19,Addis Ababa,Mango,Kg,33.13982195
2018-19,Addis Ababa,Milk,Kg,62.35983147
2018-19,Addis Ababa,Moringa/Shiferaw/Halloka,Kg,133.333327
2018-19,Addis Ababa,Niger Seed,Kg,103.087474
2018-19,Addis Ababa,Oats,Kg,46.50822258
2018-19,Addis Ababa,Oils,Kg,81.74117152
2018-19,Addis Ababa,Onion,Kg,24.34715346
2018-19,Addis Ababa,Orange,Kg,38.47716216
2018-19,Addis Ababa,Other condiments,Kg,79.68253904
2018-19,Addis Ababa,Other fruit,Kg,82.22222134
2018-19,Addis Ababa,Other prepared food,Kg,26
2018-19,Addis Ababa,Papaya,Kg,30.24149634
2018-19,Addis Ababa,Pasta/Macaroni,Kg,32.87507978
2018-19,Addis Ababa,Potato,Kg,14.41508164
2018-19,Addis Ababa,Poultry,Kg,644.4855304
2018-19,Addis Ababa,Rice,Kg,30.28197853
2018-19,Addis Ababa,Salt,Kg,22.83927521
2018-19,Addis Ababa,Sesame,Kg,201.2500002
2018-19,Addis Ababa,Shiro,Kg,67.7198368
2018-19,Addis Ababa,Soda,Kg,44.29359073
2018-19,Addis Ababa,Sorghum,Kg,21.64646452
2018-19,Addis Ababa,Sugar,Kg,28.87607098
2018-19,Addis Ababa,Sun Flower,Kg,54.21212104
2018-19,Addis Ababa,Sweet potato,Kg,22.9456288
2018-19,Addis Ababa,Tea,Kg,70.40450913
2018-19,Addis Ababa,Teff,Kg,31.34742691
2018-19,Addis Ababa,Tella,Kg,20
2018-19,Addis Ababa,Tomato,Kg,16.9823564
2018-19,Addis Ababa,Vetch,Kg,39.33333333
2018-19,Addis Ababa,Wheat,Kg,22.39974465
